inventory_id,product_id,warehouse,inventory_date,opening_stock,units_received,units_sold,closing_stock,damaged_units,stockout_flag,average_stock
I00001,P001,WH-East,2025-01-01,167,20,152,35,0,1,101.0
I00002,P002,WH-East,2025-01-01,63,113,93,82,1,0,72.5
I00003,P003,WH-North,2025-01-01,107,146,94,159,0,0,133.0
I00004,P004,WH-North,2025-01-01,110,13,152,0,1,1,55.0
I00005,P005,WH-East,2025-01-01,76,1,70,6,1,1,41.0
I00006,P006,WH-South,2025-01-01,264,88,95,257,0,0,260.5
I00007,P007,WH-East,2025-01-01,228,117,147,197,1,0,212.5
I00008,P008,WH-West,2025-01-01,81,33,40,74,0,0,77.5
I00009,P009,WH-West,2025-01-01,210,76,22,263,1,0,236.5
I00010,P010,WH-West,2025-01-01,45,111,105,51,0,1,48.0
I00011,P011,WH-East,2025-01-01,242,104,43,301,2,0,271.5
I00012,P012,WH-East,2025-01-01,186,20,27,179,0,0,182.5
I00013,P013,WH-South,2025-01-01,95,69,170,0,1,1,47.5
I00014,P014,WH-East,2025-01-01,136,86,5,217,0,0,176.5
I00015,P015,WH-South,2025-01-01,48,177,38,185,2,0,116.5
I00016,P016,WH-South,2025-01-01,73,31,136,0,4,1,36.5
I00017,P017,WH-North,2025-01-01,48,139,19,166,2,0,107.0
I00018,P018,WH-South,2025-01-01,254,179,146,286,1,0,270.0
I00019,P019,WH-North,2025-01-01,105,165,59,211,0,0,158.0
I00020,P020,WH-East,2025-01-01,72,171,157,84,2,0,78.0
I00021,P021,WH-South,2025-01-01,114,88,144,58,0,0,86.0
I00022,P022,WH-North,2025-01-01,161,178,146,191,2,0,176.0
I00023,P023,WH-West,2025-01-01,119,107,69,156,1,0,137.5
I00024,P024,WH-North,2025-01-01,291,147,116,321,1,0,306.0
I00025,P025,WH-East,2025-01-01,177,147,33,290,1,0,233.5
I00026,P026,WH-West,2025-01-01,46,20,149,0,2,1,23.0
I00027,P027,WH-East,2025-01-01,133,97,26,204,0,0,168.5
I00028,P028,WH-West,2025-01-01,209,47,140,116,0,0,162.5
I00029,P029,WH-East,2025-01-01,72,99,133,38,0,1,55.0
I00030,P030,WH-North,2025-01-01,228,133,92,269,0,0,248.5
I00031,P031,WH-West,2025-01-01,232,23,97,157,1,0,194.5
I00032,P032,WH-North,2025-01-01,295,33,19,307,2,0,301.0
I00033,P033,WH-North,2025-01-01,146,3,57,92,0,0,119.0
I00034,P034,WH-South,2025-01-01,69,62,54,76,1,1,72.5
I00035,P035,WH-South,2025-01-01,261,96,104,253,0,0,257.0
I00036,P036,WH-South,2025-01-01,246,154,34,366,0,0,306.0
I00037,P037,WH-West,2025-01-01,232,68,153,146,1,0,189.0
I00038,P038,WH-East,2025-01-01,249,158,105,302,0,0,275.5
I00039,P039,WH-North,2025-01-01,258,170,150,278,0,0,268.0
I00040,P040,WH-North,2025-01-01,143,50,80,113,0,0,128.0
I00041,P041,WH-North,2025-01-01,90,143,132,100,1,1,95.0
I00042,P042,WH-East,2025-01-01,79,80,32,126,1,0,102.5
I00043,P043,WH-East,2025-01-01,91,109,30,170,0,0,130.5
I00044,P044,WH-North,2025-01-01,131,158,130,159,0,0,145.0
I00045,P045,WH-East,2025-01-01,24,140,150,13,1,1,18.5
I00046,P046,WH-North,2025-01-01,147,83,117,112,1,1,129.5
I00047,P047,WH-West,2025-01-01,134,103,37,199,1,0,166.5
I00048,P048,WH-East,2025-01-01,177,95,72,199,1,0,188.0
I00049,P049,WH-North,2025-01-01,283,36,103,216,0,0,249.5
I00050,P050,WH-North,2025-01-01,105,64,107,61,1,0,83.0
I00051,P051,WH-South,2025-01-01,87,136,140,83,0,0,85.0
I00052,P052,WH-North,2025-01-01,260,53,89,222,2,0,241.0
I00053,P053,WH-East,2025-01-01,175,100,114,161,0,0,168.0
I00054,P054,WH-South,2025-01-01,256,140,63,333,0,0,294.5
I00055,P055,WH-North,2025-01-01,114,121,95,140,0,0,127.0
I00056,P056,WH-West,2025-01-01,245,122,38,327,2,0,286.0
I00057,P057,WH-North,2025-01-01,259,2,10,250,1,0,254.5
I00058,P058,WH-West,2025-01-01,185,163,38,309,1,0,247.0
I00059,P059,WH-West,2025-01-01,46,38,55,28,1,1,37.0
I00060,P060,WH-South,2025-01-01,181,88,28,241,0,0,211.0
I00061,P061,WH-West,2025-01-01,262,29,58,230,3,0,246.0
I00062,P062,WH-West,2025-01-01,256,124,9,370,1,0,313.0
I00063,P063,WH-East,2025-01-01,210,123,170,163,0,0,186.5
I00064,P064,WH-North,2025-01-01,153,69,40,181,1,0,167.0
I00065,P065,WH-North,2025-01-01,157,23,172,7,1,1,82.0
I00066,P066,WH-West,2025-01-01,33,54,41,44,2,1,38.5
I00067,P067,WH-West,2025-01-01,180,127,54,253,0,0,216.5
I00068,P068,WH-North,2025-01-01,103,78,90,90,1,0,96.5
I00069,P069,WH-East,2025-01-01,175,99,176,97,1,0,136.0
I00070,P070,WH-East,2025-01-01,230,56,158,128,0,0,179.0
I00071,P071,WH-North,2025-01-01,221,102,102,218,3,0,219.5
I00072,P072,WH-East,2025-01-01,130,122,58,193,1,0,161.5
I00073,P073,WH-North,2025-01-01,295,88,15,366,2,0,330.5
I00074,P074,WH-South,2025-01-01,71,53,73,49,2,1,60.0
I00075,P075,WH-West,2025-01-01,243,68,95,215,1,0,229.0
I00076,P076,WH-East,2025-01-01,140,35,25,150,0,0,145.0
I00077,P077,WH-North,2025-01-01,166,2,85,81,2,0,123.5
I00078,P078,WH-East,2025-01-01,176,115,77,214,0,0,195.0
I00079,P079,WH-South,2025-01-01,166,149,53,261,1,0,213.5
I00080,P080,WH-East,2025-01-01,258,59,11,305,1,0,281.5
I00081,P081,WH-East,2025-01-01,26,130,29,127,0,0,76.5
I00082,P082,WH-West,2025-01-01,57,109,129,36,1,1,46.5
I00083,P083,WH-South,2025-01-01,120,60,85,95,0,0,107.5
I00084,P084,WH-South,2025-01-01,80,128,10,198,0,0,139.0
I00085,P085,WH-West,2025-01-01,40,82,32,89,1,0,64.5
I00086,P086,WH-North,2025-01-01,159,64,178,45,0,1,102.0
I00087,P087,WH-West,2025-01-01,156,81,66,170,1,0,163.0
I00088,P088,WH-South,2025-01-01,254,34,131,156,1,0,205.0
I00089,P089,WH-West,2025-01-01,278,127,57,348,0,0,313.0
I00090,P090,WH-West,2025-01-01,213,36,105,142,2,0,177.5
I00091,P091,WH-North,2025-01-01,258,123,10,370,1,0,314.0
I00092,P092,WH-West,2025-01-01,76,155,89,140,2,0,108.0
I00093,P093,WH-North,2025-01-01,210,21,114,117,0,0,163.5
I00094,P094,WH-North,2025-01-01,56,40,83,11,2,1,33.5
I00095,P095,WH-West,2025-01-01,297,90,147,236,4,0,266.5
I00096,P096,WH-North,2025-01-01,227,117,167,176,1,0,201.5
I00097,P097,WH-West,2025-01-01,157,139,95,201,0,0,179.0
I00098,P098,WH-South,2025-01-01,273,145,131,286,1,0,279.5
I00099,P099,WH-East,2025-01-01,212,54,42,224,0,0,218.0
I00100,P100,WH-North,2025-01-01,168,148,112,200,4,0,184.0
I00101,P001,WH-North,2025-02-01,279,159,144,294,0,0,286.5
I00102,P002,WH-North,2025-02-01,294,79,162,210,1,0,252.0
I00103,P003,WH-East,2025-02-01,298,75,9,362,2,0,330.0
I00104,P004,WH-West,2025-02-01,213,42,6,248,1,0,230.5
I00105,P005,WH-South,2025-02-01,118,116,168,64,2,1,91.0
I00106,P006,WH-West,2025-02-01,144,100,37,205,2,0,174.5
I00107,P007,WH-West,2025-02-01,190,53,100,141,2,0,165.5
