order_id,order_date,product_id,customer_id,warehouse,quantity,unit_price,sales,order_status,delivery_date,order_year,order_month,order_month_name,fulfilled_flag
O00001,2026-04-11,P014,C0432,WH-South,2,8215.45,16430.9,Delivered,2026-04-16,2026,4,April,1
O00002,2026-06-18,P004,C0424,WH-East,9,5647.39,50826.51,Delivered,2026-06-20,2026,6,June,1
O00003,2026-02-09,P086,C0039,WH-West,13,3132.13,40717.69,Delivered,2026-02-15,2026,2,February,1
O00004,2026-05-28,P055,C0980,WH-South,12,1487.11,17845.32,Delivered,2026-05-30,2026,5,May,1
O00005,2025-08-21,P100,C0387,WH-West,13,6160.6,80087.8,Delivered,2025-08-23,2025,8,August,1
O00006,2026-06-08,P034,C0951,WH-West,8,7873.1,62984.8,Delivered,2026-06-10,2026,6,June,1
O00007,2025-12-12,P027,C0769,WH-North,13,3927.78,51061.14,Delivered,2025-12-14,2025,12,December,1
O00008,2025-02-15,P007,C0791,WH-North,11,11389.37,125283.07,Delivered,2025-02-24,2025,2,February,1
O00009,2026-06-30,P003,C0742,WH-South,10,8874.43,88744.3,Delivered,2026-07-03,2026,6,June,1
O00010,2025-03-19,P047,C0451,WH-South,10,9554.1,95541.0,Cancelled,Unknown,2025,3,March,0
O00011,2025-03-14,P097,C0958,WH-North,6,7927.96,47567.76,Delivered,2025-03-22,2025,3,March,1
O00012,2025-09-06,P002,C0115,WH-West,7,9662.88,67640.16,Processing,2025-09-10,2025,9,September,0
O00013,2025-02-16,P080,C0930,WH-South,12,6733.38,80800.56,Delivered,2025-02-26,2025,2,February,1
O00014,2025-05-01,P025,C0401,WH-East,6,2564.25,15385.5,Delivered,2025-05-06,2025,5,May,1
O00015,2025-08-02,P060,C0304,WH-South,15,1239.87,18598.05,Delivered,2025-08-10,2025,8,August,1
O00016,2025-08-27,P079,C0603,WH-South,15,8889.27,133339.05,Delivered,2025-08-31,2025,8,August,1
O00017,2025-02-25,P024,C0309,WH-East,5,5645.0,28225.0,Delivered,2025-03-03,2025,2,February,1
O00018,2025-12-16,P015,C0573,WH-South,4,10925.43,43701.72,Delivered,2025-12-21,2025,12,December,1
O00019,2025-04-17,P095,C0103,WH-West,7,5427.18,37990.26,Delivered,2025-04-24,2025,4,April,1
O00020,2025-02-17,P014,C0727,WH-East,4,8215.45,32861.8,Delivered,2025-02-27,2025,2,February,1
O00021,2025-12-03,P054,C0102,WH-East,10,5559.97,55599.7,Delivered,2025-12-09,2025,12,December,1
O00022,2025-01-26,P078,C0907,WH-North,10,8749.35,87493.5,Delivered,2025-01-28,2025,1,January,1
O00023,2025-09-14,P006,C0655,WH-West,10,716.9,7169.0,Delivered,2025-09-20,2025,9,September,1
O00024,2025-01-08,P078,C0090,WH-North,9,8749.35,78744.15,Delivered,2025-01-14,2025,1,January,1
O00025,2025-09-10,P081,C0118,WH-West,5,8788.43,43942.15,Delivered,2025-09-20,2025,9,September,1
O00026,2025-10-30,P018,C0139,WH-South,8,6842.11,54736.88,Delivered,2025-11-08,2025,10,October,1
O00027,2025-02-25,P020,C0903,WH-North,12,2297.9,27574.8,Delivered,2025-03-03,2025,2,February,1
O00028,2026-06-10,P062,C0303,WH-South,13,11436.7,148677.1,Delivered,2026-06-16,2026,6,June,1
O00029,2026-04-19,P081,C0752,WH-South,15,8788.43,131826.45,Delivered,2026-04-22,2026,4,April,1
O00030,2025-01-28,P080,C0648,WH-North,12,6733.38,80800.56,Delivered,2025-02-07,2025,1,January,1
O00031,2025-03-19,P040,C0517,WH-North,12,7396.64,88759.68,Processing,2025-03-24,2025,3,March,0
O00032,2025-08-04,P039,C0209,WH-South,6,2741.34,16448.04,Delivered,2025-08-12,2025,8,August,1
O00033,2026-01-21,P052,C0087,WH-South,4,2109.04,8436.16,Delivered,2026-01-28,2026,1,January,1
O00034,2025-12-31,P032,C0962,WH-West,12,8387.44,100649.28,Delivered,2026-01-06,2025,12,December,1
O00035,2026-06-10,P073,C0859,WH-South,3,5286.08,15858.24,Delivered,2026-06-16,2026,6,June,1
O00036,2025-11-08,P027,C0319,WH-East,11,3927.78,43205.58,Delivered,2025-11-16,2025,11,November,1
O00037,2025-01-07,P052,C0789,WH-South,6,2109.04,12654.24,Delivered,2025-01-10,2025,1,January,1
O00038,2025-01-03,P097,C0967,WH-South,1,7927.96,7927.96,Delivered,2025-01-13,2025,1,January,1
O00039,2025-12-29,P063,C0887,WH-South,2,6119.08,12238.16,Delivered,2026-01-01,2025,12,December,1
O00040,2026-05-23,P074,C0633,WH-North,7,8610.83,60275.81,Delivered,2026-06-02,2026,5,May,1
O00041,2025-10-01,P063,C0245,WH-North,15,6119.08,91786.2,Delivered,2025-10-06,2025,10,October,1
O00042,2026-05-21,P017,C0870,WH-East,4,8360.81,33443.24,Delivered,2026-05-28,2026,5,May,1
O00043,2025-01-15,P049,C0090,WH-South,5,3014.05,15070.25,Delivered,2025-01-17,2025,1,January,1
O00044,2025-07-11,P100,C0478,WH-West,15,6160.6,92409.0,Delivered,2025-07-17,2025,7,July,1
