procurement_id,po_date,supplier_id,product_id,warehouse,quantity_ordered,quantity_received,unit_cost,procurement_cost,expected_delivery_date,actual_delivery_date
PO00001,2025-08-15,S022,P002,WH-South,418,387,6949.48,2689448.76,2025-09-03,2025-09-10
PO00002,2026-04-04,S009,P097,WH-West,425,425,6093.09,2589563.25,2026-04-16,2026-04-16
PO00003,2025-05-25,S014,P074,WH-East,165,158,7257.25,1146645.5,2025-06-07,2025-06-04
PO00004,2026-04-28,S023,P045,WH-West,453,426,7714.42,3286342.92,2026-05-03,2026-05-09
PO00005,2026-03-09,S010,P033,WH-West,347,306,5454.17,1668976.02,2026-03-25,2026-03-26
PO00006,2025-08-30,S003,P023,WH-North,413,410,1939.29,795108.9,2025-09-19,2025-09-25
PO00007,2025-10-04,S008,P098,WH-North,248,206,2306.64,475167.84,2025-10-15,2025-10-14
PO00008,2025-07-07,S020,P036,WH-West,250,250,6872.15,1718037.5,2025-07-23,2025-07-22
PO00009,2025-04-10,S025,P094,WH-West,68,65,7900.12,513507.8,2025-04-26,2025-04-26
PO00010,2026-06-06,S025,P069,WH-South,473,406,5619.39,2281472.34,2026-06-21,2026-06-29
PO00011,2025-03-25,S013,P085,WH-West,382,382,800.7,305867.4,2025-04-14,2025-04-19
PO00012,2025-02-22,S019,P080,WH-North,270,239,5694.0,1360866.0,2025-03-06,2025-03-13
PO00013,2025-05-07,S023,P071,WH-West,413,353,3389.05,1196334.65,2025-05-30,2025-06-01
PO00014,2025-10-13,S004,P009,WH-South,314,278,5350.8,1487522.4,2025-10-25,2025-10-31
PO00015,2025-02-24,S012,P088,WH-South,77,77,5620.86,432806.22,2025-03-05,2025-03-12
PO00016,2025-01-21,S025,P049,WH-West,218,212,2161.22,458178.64,2025-02-11,2025-02-15
PO00017,2025-10-27,S017,P026,WH-North,189,189,5615.99,1061422.11,2025-11-16,2025-11-23
PO00018,2025-12-25,S005,P096,WH-East,320,282,4344.62,1225182.84,2026-01-02,2026-01-10
PO00019,2025-05-23,S001,P027,WH-West,246,206,3376.64,695587.84,2025-06-14,2025-06-15
PO00020,2025-01-02,S001,P041,WH-South,47,44,7152.57,314713.08,2025-01-18,2025-01-20
PO00021,2025-12-23,S020,P083,WH-South,108,99,1022.9,101267.1,2025-12-31,2025-12-30
PO00022,2026-03-28,S017,P072,WH-North,111,107,5486.78,587085.46,2026-04-19,2026-04-26
PO00023,2025-02-16,S007,P006,WH-South,92,85,514.64,43744.4,2025-02-27,2025-03-06
PO00024,2026-03-03,S020,P083,WH-West,280,252,1022.9,257770.8,2026-03-09,2026-03-16
PO00025,2026-06-23,S017,P087,WH-East,332,273,5608.98,1531251.54,2026-06-29,2026-07-02
PO00026,2026-05-03,S013,P066,WH-North,99,90,6590.35,593131.5,2026-05-20,2026-05-28
PO00027,2025-12-08,S005,P061,WH-South,48,41,6142.41,251838.81,2025-12-16,2025-12-23
PO00028,2026-06-13,S017,P067,WH-North,254,254,3111.48,790315.92,2026-06-22,2026-06-29
PO00029,2025-10-06,S013,P066,WH-West,330,330,6590.35,2174815.5,2025-10-22,2025-10-27
PO00030,2025-06-21,S023,P077,WH-East,170,167,7797.85,1302240.95,2025-07-06,2025-07-11
PO00031,2025-10-29,S005,P096,WH-West,76,65,4344.62,282400.3,2025-11-05,2025-11-08
PO00032,2026-01-31,S014,P043,WH-North,165,140,6183.15,865641.0,2026-02-15,2026-02-14
