product_id,product_name,category,sub_category,unit_cost,selling_price,reorder_level,safety_stock,supplier_id,profit_per_unit,profit_margin
P001,Product 001,Industrial,Tools,1589.96,2324.33,40,48,S019,734.3699999999999,0.31594911221728406
P002,Product 002,Office Supplies,Storage,6949.48,9662.88,43,12,S022,2713.3999999999996,0.2808065504280297
P003,Product 003,Furniture,Unknown,5817.69,8874.43,21,30,S001,3056.7400000000007,0.34444353045773085
P004,Product 004,Industrial,Safety,4269.34,5647.39,68,36,S010,1378.0500000000002,0.24401537701486883
P005,Product 005,Industrial,Hardware,3730.15,5461.2,70,53,S023,1731.0499999999997,0.31697246026514314
P006,Product 006,Industrial,Tools,514.64,716.9,40,18,S007,202.26,0.2821313990793695
P007,Product 007,Home Appliances,Kitchen,7730.21,11389.37,28,35,S021,3659.1600000000008,0.3212785255022886
P008,Product 008,Home Appliances,Small Appliances,5513.62,7685.98,27,56,S003,2172.3599999999997,0.2826392990874293
P009,Product 009,Electronics,Networking,5350.8,6820.58,25,51,S004,1469.7799999999997,0.2154919376358022
P010,Product 010,Furniture,Seating,6761.94,8992.72,93,45,S014,2230.7799999999997,0.24806510154880837
P011,Product 011,Industrial,Tools,7695.2,11449.02,101,56,S021,3753.8200000000006,0.32787260394339435
P012,Product 012,Home Appliances,Kitchen,2355.34,3219.93,60,38,S015,864.5899999999997,0.26851204839856757
P013,Product 013,Furniture,Unknown,272.75,359.86,20,53,S008,87.11000000000001,0.24206635913966545
P014,Product 014,Office Supplies,Storage,5698.83,8215.45,52,14,S010,2516.620000000001,0.3063277118112825
P015,Product 015,Home Appliances,Kitchen,7332.43,10925.43,31,43,S001,3593.0,0.32886577461939714
P016,Product 016,Furniture,Seating,4791.69,6037.0,54,10,S003,1245.3100000000004,0.20627960907735637
P017,Product 017,Furniture,Seating,5748.97,8360.81,109,23,S007,2611.8399999999992,0.31239078510335716
P018,Product 018,Office Supplies,Stationery,5728.7,6842.11,96,41,S007,1113.4099999999999,0.16272904118758685
P019,Product 019,Electronics,Accessories,4142.28,6267.38,42,48,S013,2125.1000000000004,0.33907310550820285
